step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.0,0.001,0.005
100000,0.0087,0.016,0.029,0.029
200000,0.0321,0.054,0.077,0.07
300000,0.0512,0.071,0.081,0.087
400000,0.0647,0.072,0.089,0.086
500000,0.0784,0.104,0.116,0.116
600000,0.0958,0.111,0.125,0.128
700000,0.1079,0.122,0.144,0.135
800000,0.1944,0.279,0.374,0.374
900000,0.3673,0.405,0.536,0.533
1000000,0.5294,0.518,0.679,0.643
1100000,0.5974,0.537,0.704,0.668
1200000,0.6333,0.542,0.7,0.665
1300000,0.6502,0.546,0.7,0.67
1400000,0.6623,0.534,0.7,0.665
1500000,0.67,0.558,0.694,0.677
1600000,0.675,0.533,0.67,0.659
1700000,0.6794,0.543,0.683,0.665
1800000,0.6817,0.548,0.691,0.658
1900000,0.684,0.549,0.705,0.675
2000000,0.685,0.548,0.696,0.664
2100000,0.6862,0.557,0.699,0.663
2200000,0.6872,0.56,0.709,0.677
2300000,0.6878,0.552,0.697,0.677
2400000,0.6885,0.553,0.712,0.675
2500000,0.6898,0.538,0.699,0.66
2600000,0.6908,0.532,0.692,0.661
2700000,0.6919,0.556,0.72,0.68
2800000,0.6922,0.536,0.709,0.682
2900000,0.6925,0.538,0.691,0.662
3000000,0.6929,0.543,0.715,0.669
3100000,0.693,0.543,0.703,0.672
3200000,0.6931,0.531,0.696,0.655
3300000,0.6937,0.56,0.711,0.679
3400000,0.6942,0.55,0.713,0.682
3500000,0.6948,0.563,0.71,0.69
3600000,0.6948,0.541,0.715,0.667
3700000,0.6949,0.531,0.713,0.673
3800000,0.6955,0.538,0.697,0.666
3900000,0.6956,0.545,0.702,0.669
4000000,0.6959,0.544,0.709,0.67
4100000,0.6965,0.548,0.716,0.687
4200000,0.6969,0.542,0.695,0.653
4300000,0.6974,0.536,0.707,0.673
4400000,0.6982,0.534,0.719,0.679
4500000,0.6986,0.539,0.698,0.659
4600000,0.6991,0.547,0.709,0.671
4700000,0.6991,0.555,0.703,0.663
4800000,0.6993,0.557,0.711,0.672
4900000,0.6995,0.545,0.712,0.666
5000000,0.6997,0.508,0.706,0.662
