step,coverage,test_greedy,test_beam,test_at10
500000,0.21709205620877545,0.10335917312661498,0.14728682170542637,0.16795865633074936
1000000,0.4166905649555492,0.13953488372093023,0.21705426356589147,0.2661498708010336
1500000,0.48695153427014626,0.17054263565891473,0.23255813953488372,0.2971576227390181
2000000,0.6303412675652423,0.20155038759689922,0.28165374677002586,0.37467700258397935
2500000,0.7533696587324348,0.2144702842377261,0.27648578811369506,0.36175710594315247
3000000,0.7843418411241755,0.2222222222222222,0.28165374677002586,0.36175710594315247
3500000,0.8006882707198164,0.1524547803617571,0.21188630490956073,0.28165374677002586
4000000,0.8092916547175222,0.10852713178294573,0.15762273901808785,0.2248062015503876
4500000,0.8118726699168339,0.13695090439276486,0.16795865633074936,0.2248062015503876
5000000,0.8127330083166046,0.09560723514211886,0.12144702842377261,0.13953488372093023
