step,coverage,test_greedy,test_beam,test_at10
0,0.0,0.0,0.002583979328165375,0.00516795865633075
100000,0.01605965012905076,0.00516795865633075,0.0103359173126615,0.028423772609819122
200000,0.04932606825351305,0.002583979328165375,0.012919896640826873,0.03875968992248062
300000,0.0728419845139088,0.023255813953488372,0.046511627906976744,0.07493540051679587
400000,0.1350731287639805,0.1111111111111111,0.14470284237726097,0.20930232558139536
500000,0.2885001433897333,0.16279069767441862,0.2144702842377261,0.2713178294573643
600000,0.4416403785488959,0.24289405684754523,0.3178294573643411,0.39276485788113696
700000,0.5798680814453685,0.21705426356589147,0.35658914728682173,0.42377260981912146
800000,0.6991683395468884,0.2661498708010336,0.4134366925064599,0.4496124031007752
900000,0.7809004875250932,0.3023255813953488,0.4625322997416021,0.49612403100775193
1000000,0.8454258675078864,0.2842377260981912,0.48578811369509045,0.5297157622739018
