step,coverage,test_greedy,test_beam,test_at10
500000,0.2979638657872096,0.2351421188630491,0.2997416020671835,0.35400516795865633
1000000,0.6056782334384858,0.3281653746770026,0.4186046511627907,0.4496124031007752
1500000,0.7398910238026958,0.35400516795865633,0.4909560723514212,0.5271317829457365
2000000,0.8259248637797534,0.42118863049095606,0.5607235142118863,0.5762273901808785
2500000,0.8698021221680527,0.40568475452196384,0.5348837209302325,0.5633074935400517
3000000,0.8981932893604818,0.4005167958656331,0.5503875968992248,0.5607235142118863
3500000,0.911958703756811,0.43669250645994834,0.5968992248062015,0.627906976744186
4000000,0.9211356466876972,0.4392764857881137,0.6434108527131783,0.6304909560723514
4500000,0.9288786922856324,0.4573643410852713,0.5581395348837209,0.6046511627906976
5000000,0.9314597074849441,0.46770025839793283,0.6046511627906976,0.6640826873385013
