step,coverage,test_greedy,test_beam,test_at10
100000,1.0,0.16,0.215,0.225
200000,1.0,0.245,0.25,0.26
300000,1.0,0.255,0.26,0.26
400000,1.0,0.265,0.27,0.265
500000,1.0,0.255,0.27,0.275
600000,1.0,0.275,0.28,0.28
700000,1.0,0.28,0.31,0.32
800000,1.0,0.325,0.36,0.38
900000,1.0,0.435,0.47,0.47
1000000,1.0,0.525,0.56,0.575
1100000,1.0,0.675,0.73,0.71
1200000,1.0,0.735,0.75,0.75
1300000,1.0,0.715,0.755,0.735
1400000,1.0,0.71,0.745,0.755
1500000,1.0,0.725,0.735,0.76
1600000,1.0,0.725,0.725,0.76
1700000,1.0,0.71,0.74,0.75
1800000,1.0,0.74,0.77,0.785
1900000,1.0,0.75,0.775,0.78
2000000,1.0,0.73,0.79,0.775
2100000,1.0,0.75,0.755,0.775
2200000,1.0,0.755,0.79,0.78
2300000,1.0,0.735,0.78,0.77
2400000,1.0,0.75,0.79,0.795
2500000,1.0,0.76,0.785,0.795
2600000,1.0,0.77,0.78,0.795
2700000,1.0,0.785,0.795,0.815
2800000,1.0,0.76,0.78,0.81
2900000,1.0,0.795,0.8,0.825
3000000,1.0,0.79,0.81,0.805
3100000,1.0,0.755,0.81,0.805
3200000,1.0,0.77,0.8,0.8
3300000,1.0,0.76,0.785,0.825
3400000,1.0,0.79,0.815,0.825
3500000,1.0,0.74,0.8,0.82
3600000,1.0,0.79,0.82,0.82
3700000,1.0,0.77,0.81,0.82
3800000,1.0,0.79,0.805,0.82
3900000,1.0,0.785,0.795,0.815
4000000,1.0,0.74,0.78,0.815
4100000,1.0,0.77,0.825,0.845
4200000,1.0,0.765,0.825,0.825
4300000,1.0,0.785,0.805,0.825
4400000,1.0,0.765,0.805,0.82
4500000,1.0,0.79,0.825,0.825
4600000,1.0,0.8,0.795,0.83
4700000,1.0,0.77,0.79,0.805
4800000,1.0,0.82,0.81,0.84
4900000,1.0,0.815,0.825,0.835
5000000,1.0,0.775,0.81,0.82
5100000,1.0,0.81,0.8,0.83
5200000,1.0,0.79,0.82,0.83
5300000,1.0,0.8,0.825,0.85
