step,coverage,test_greedy,test_beam,test_at10
50000,0.2,0.0,0.0,0.1
100000,0.34,0.0,0.2,0.1
150000,0.35,0.1,0.1,0.2
200000,0.35,0.0,0.1,0.1
250000,0.36,0.0,0.1,0.1
300000,0.38,0.1,0.1,0.1
350000,0.38,0.1,0.1,0.1
400000,0.38,0.1,0.1,0.1
450000,0.38,0.1,0.1,0.1
500000,0.38,0.1,0.1,0.1
550000,0.38,0.1,0.1,0.1
600000,0.38,0.1,0.1,0.1
650000,0.38,0.1,0.1,0.1
700000,0.38,0.0,0.1,0.1
750000,0.38,0.1,0.1,0.1
800000,0.38,0.1,0.1,0.1
850000,0.38,0.1,0.1,0.1
900000,0.38,0.1,0.1,0.1
950000,0.39,0.1,0.1,0.1
1000000,0.41,0.0,0.1,0.2
