step,coverage,test_greedy,test_beam,test_at10
500000,0.03412675652423287,0.00516795865633075,0.015503875968992248,0.01808785529715762
1000000,0.06538571838256381,0.007751937984496124,0.015503875968992248,0.025839793281653745
1500000,0.11299110983653571,0.007751937984496124,0.012919896640826873,0.028423772609819122
2000000,0.24749067966733582,0.056847545219638244,0.13178294573643412,0.13178294573643412
2500000,0.40607972469171205,0.09819121447028424,0.14987080103359174,0.1524547803617571
3000000,0.509033553197591,0.11369509043927649,0.20155038759689922,0.1731266149870801
3500000,0.592486377975337,0.12661498708010335,0.19638242894056848,0.19121447028423771
4000000,0.6346429595640952,0.10852713178294573,0.18863049095607234,0.18604651162790697
4500000,0.6558646400917695,0.04392764857881137,0.08785529715762273,0.09302325581395349
5000000,0.6644680240894751,0.002583979328165375,0.007751937984496124,0.015503875968992248
