step,coverage,test_greedy,test_beam,test_at10
100000,1.0,0.23,0.235,0.24
200000,1.0,0.25,0.26,0.27
300000,1.0,0.295,0.29,0.305
400000,1.0,0.375,0.385,0.39
500000,1.0,0.385,0.38,0.39
600000,1.0,0.47,0.5,0.53
700000,1.0,0.51,0.51,0.525
800000,1.0,0.575,0.615,0.615
900000,1.0,0.62,0.66,0.655
1000000,1.0,0.635,0.67,0.68
1100000,1.0,0.63,0.68,0.67
1200000,1.0,0.675,0.74,0.74
1300000,1.0,0.695,0.75,0.755
1400000,1.0,0.715,0.745,0.745
1500000,1.0,0.72,0.75,0.745
1600000,1.0,0.715,0.745,0.745
1700000,1.0,0.685,0.76,0.745
1800000,1.0,0.735,0.785,0.785
1900000,1.0,0.705,0.77,0.775
2000000,1.0,0.745,0.785,0.775
2100000,1.0,0.725,0.795,0.775
2200000,1.0,0.74,0.78,0.8
2300000,1.0,0.705,0.78,0.79
2400000,1.0,0.725,0.77,0.77
2500000,1.0,0.73,0.79,0.77
2600000,1.0,0.75,0.795,0.78
2700000,1.0,0.755,0.8,0.795
2800000,1.0,0.72,0.8,0.8
2900000,1.0,0.78,0.805,0.815
3000000,1.0,0.76,0.795,0.815
3100000,1.0,0.745,0.81,0.81
3200000,1.0,0.775,0.82,0.815
3300000,1.0,0.76,0.82,0.815
3400000,1.0,0.75,0.785,0.815
3500000,1.0,0.745,0.81,0.81
3600000,1.0,0.76,0.81,0.805
3700000,1.0,0.75,0.815,0.805
3800000,1.0,0.79,0.835,0.82
3900000,1.0,0.74,0.81,0.825
4000000,1.0,0.775,0.845,0.835
4100000,1.0,0.77,0.835,0.82
4200000,1.0,0.775,0.825,0.815
4300000,1.0,0.715,0.81,0.805
4400000,1.0,0.795,0.83,0.82
4500000,1.0,0.75,0.795,0.795
4600000,1.0,0.81,0.835,0.84
4700000,1.0,0.82,0.84,0.84
4800000,1.0,0.82,0.85,0.84
4900000,1.0,0.79,0.835,0.835
5000000,1.0,0.73,0.83,0.82
5100000,1.0,0.815,0.855,0.84
5200000,1.0,0.795,0.825,0.825
5300000,1.0,0.795,0.825,0.84
5400000,1.0,0.82,0.8,0.84
5500000,1.0,0.82,0.85,0.845
5600000,1.0,0.795,0.845,0.83
5700000,1.0,0.82,0.84,0.845
5800000,1.0,0.815,0.865,0.845
5900000,1.0,0.81,0.85,0.84
6000000,1.0,0.8,0.845,0.84
6100000,1.0,0.825,0.8,0.84
6200000,1.0,0.795,0.85,0.86
6300000,1.0,0.835,0.845,0.855
6400000,1.0,0.83,0.845,0.865
6500000,1.0,0.835,0.835,0.87
6600000,1.0,0.805,0.825,0.845
6700000,1.0,0.775,0.845,0.86
6800000,1.0,0.81,0.85,0.85
6900000,1.0,0.825,0.845,0.855
7000000,1.0,0.85,0.865,0.865
7100000,1.0,0.85,0.865,0.87
7200000,1.0,0.83,0.86,0.88
7300000,1.0,0.83,0.855,0.855
7400000,1.0,0.82,0.86,0.855
7500000,1.0,0.815,0.845,0.85
7600000,1.0,0.835,0.845,0.86
7700000,1.0,0.7,0.865,0.87
7800000,1.0,0.83,0.86,0.865
7900000,1.0,0.795,0.85,0.835
8000000,1.0,0.84,0.85,0.865
8100000,1.0,0.83,0.875,0.855
8200000,1.0,0.835,0.845,0.865
8300000,1.0,0.82,0.835,0.86
8400000,1.0,0.825,0.855,0.855
8500000,1.0,0.835,0.865,0.85
8600000,1.0,0.82,0.87,0.85
8700000,1.0,0.83,0.865,0.865
8800000,1.0,0.85,0.875,0.875
8900000,1.0,0.83,0.845,0.85
9000000,1.0,0.8,0.845,0.855
9100000,1.0,0.835,0.87,0.87
9200000,1.0,0.82,0.875,0.87
9300000,1.0,0.815,0.87,0.875
9400000,1.0,0.785,0.865,0.86
9500000,1.0,0.77,0.84,0.855
9600000,1.0,0.785,0.87,0.85
9700000,1.0,0.82,0.83,0.87
9800000,1.0,0.83,0.85,0.865
9900000,1.0,0.805,0.865,0.87
10000000,1.0,0.805,0.86,0.855
