step,coverage,test_greedy,test_beam,test_at10
100000,1.0,0.805,0.815,0.815
200000,1.0,0.82,0.835,0.845
300000,1.0,0.835,0.85,0.85
400000,1.0,0.86,0.87,0.87
500000,1.0,0.84,0.865,0.87
600000,1.0,0.855,0.865,0.875
700000,1.0,0.86,0.86,0.86
800000,1.0,0.84,0.865,0.87
900000,1.0,0.84,0.88,0.875
1000000,1.0,0.835,0.875,0.88
1100000,1.0,0.86,0.87,0.87
1200000,1.0,0.865,0.875,0.875
1300000,1.0,0.86,0.885,0.89
1400000,1.0,0.87,0.885,0.89
1500000,1.0,0.865,0.9,0.89
1600000,1.0,0.885,0.905,0.9
1700000,1.0,0.88,0.905,0.895
1800000,1.0,0.89,0.905,0.905
1900000,1.0,0.865,0.905,0.9
2000000,1.0,0.89,0.905,0.91
2100000,1.0,0.905,0.895,0.91
2200000,1.0,0.9,0.91,0.93
2300000,1.0,0.945,0.92,0.945
2400000,1.0,0.92,0.925,0.95
2500000,1.0,0.95,0.92,0.955
2600000,1.0,0.915,0.85,0.96
2700000,1.0,0.93,0.895,0.955
2800000,1.0,0.925,0.835,0.945
2900000,1.0,0.94,0.845,0.955
3000000,1.0,0.94,0.835,0.95
3100000,1.0,0.895,0.855,0.94
3200000,1.0,0.935,0.845,0.96
3300000,1.0,0.955,0.865,0.955
3400000,1.0,0.93,0.865,0.96
3500000,1.0,0.93,0.905,0.95
3600000,1.0,0.95,0.855,0.96
3700000,1.0,0.955,0.855,0.96
3800000,1.0,0.94,0.87,0.955
3900000,1.0,0.945,0.875,0.96
4000000,1.0,0.955,0.9,0.96
4100000,1.0,0.92,0.86,0.955
4200000,1.0,0.935,0.855,0.96
4300000,1.0,0.95,0.835,0.95
4400000,1.0,0.9,0.885,0.96
4500000,1.0,0.935,0.83,0.955
4600000,1.0,0.935,0.845,0.96
4700000,1.0,0.945,0.84,0.96
4800000,1.0,0.925,0.87,0.955
4900000,1.0,0.925,0.85,0.955
5000000,1.0,0.92,0.86,0.96
5100000,1.0,0.94,0.88,0.965
5200000,1.0,0.935,0.88,0.96
5300000,1.0,0.945,0.925,0.96
5400000,1.0,0.94,0.885,0.96
5500000,1.0,0.935,0.905,0.955
5600000,1.0,0.94,0.9,0.96
5700000,1.0,0.94,0.875,0.95
5800000,1.0,0.96,0.9,0.96
5900000,1.0,0.915,0.885,0.95
6000000,1.0,0.925,0.84,0.95
6100000,1.0,0.95,0.905,0.95
6200000,1.0,0.95,0.925,0.96
6300000,1.0,0.94,0.895,0.955
6400000,1.0,0.955,0.895,0.965
6500000,1.0,0.96,0.915,0.965
6600000,1.0,0.93,0.855,0.955
6700000,1.0,0.965,0.885,0.965
6800000,1.0,0.955,0.865,0.965
6900000,1.0,0.96,0.875,0.965
7000000,1.0,0.955,0.9,0.965
7100000,1.0,0.945,0.855,0.96
7200000,1.0,0.945,0.905,0.96
7300000,1.0,0.925,0.9,0.96
7400000,1.0,0.95,0.875,0.96
7500000,1.0,0.96,0.92,0.965
7600000,1.0,0.955,0.87,0.965
7700000,1.0,0.95,0.9,0.955
7800000,1.0,0.94,0.85,0.945
7900000,1.0,0.95,0.875,0.965
8000000,1.0,0.955,0.845,0.96
8100000,1.0,0.96,0.91,0.965
8200000,1.0,0.915,0.855,0.95
8300000,1.0,0.94,0.865,0.945
8400000,1.0,0.935,0.825,0.945
8500000,1.0,0.945,0.865,0.955
8600000,1.0,0.925,0.82,0.95
8700000,1.0,0.93,0.855,0.95
8800000,1.0,0.94,0.845,0.945
8900000,1.0,0.93,0.815,0.935
9000000,1.0,0.925,0.87,0.955
9100000,1.0,0.93,0.835,0.94
9200000,1.0,0.94,0.87,0.95
9300000,1.0,0.955,0.845,0.96
9400000,1.0,0.94,0.845,0.96
9500000,1.0,0.955,0.925,0.965
9600000,1.0,0.95,0.88,0.955
9700000,1.0,0.945,0.9,0.95
9800000,1.0,0.945,0.85,0.965
9900000,1.0,0.94,0.9,0.955
10000000,1.0,0.96,0.86,0.965
