step,coverage,test_greedy,test_beam,test_at10
500000,0.149,0.114,0.175,0.191
1000000,0.3134,0.157,0.329,0.345
1500000,0.483,0.262,0.414,0.415
2000000,0.5833,0.247,0.416,0.425
2500000,0.648,0.267,0.445,0.458
3000000,0.7036,0.231,0.466,0.446
3500000,0.7512,0.277,0.467,0.472
4000000,0.7868,0.326,0.515,0.513
4500000,0.8232,0.332,0.502,0.513
5000000,0.8443,0.344,0.534,0.535
5500000,0.8602,0.311,0.52,0.534
6000000,0.8708,0.33,0.526,0.549
6500000,0.8791,0.311,0.501,0.535
7000000,0.8854,0.353,0.527,0.536
7500000,0.8899,0.346,0.495,0.525
8000000,0.8949,0.319,0.504,0.518
8500000,0.8989,0.295,0.461,0.474
9000000,0.9038,0.327,0.5,0.522
9500000,0.9066,0.335,0.519,0.522
10000000,0.9081,0.352,0.494,0.516
